시군구별,2014 ,2015 ,2016 ,2017 ,2018 ,2019 
전국,435435 ,438420 ,406243 ,357771 ,326822 ,302676 
서울특별시,83711 ,83005 ,75536 ,65389 ,58074 ,53673 
부산광역시,26190 ,26645 ,24906 ,21480 ,19152 ,17049 
대구광역시,19361 ,19438 ,18298 ,15946 ,14400 ,13233 
인천광역시,25786 ,25491 ,23609 ,20445 ,20087 ,18522 
광주광역시,12729 ,12441 ,11580 ,10120 ,9105 ,8364 
대전광역시,13962 ,13774 ,12436 ,10851 ,9337 ,8410 
울산광역시,11556 ,11732 ,10910 ,9381 ,8149 ,7539 
세종특별자치시,1344 ,2708 ,3297 ,3504 ,3703 ,3819 
경기도,112169 ,113495 ,105643 ,94088 ,88175 ,83198 
강원도,10662 ,10929 ,10058 ,8958 ,8351 ,8283 
충청북도,13366 ,13563 ,12742 ,11394 ,10586 ,9333 
충청남도,18200 ,18604 ,17302 ,15670 ,14380 ,13228 
전라북도,14231 ,14087 ,12698 ,11348 ,10001 ,8971 
전라남도,14817 ,15061 ,13980 ,12354 ,11238 ,10832 
경상북도,22062 ,22310 ,20616 ,17957 ,16079 ,14472 
경상남도,29763 ,29537 ,27138 ,23849 ,21224 ,19250 
제주특별자치도,5526 ,5600 ,5494 ,5037 ,4781 ,4500 
